ルール	重大度	メッセージ例	詳細例	説明
async-component-flags	Error/Warning	Component is not configured for asynchronous loading.	{@link topic:676b636446c94eada183b1218a824717 Use Asynchronous Loading}. Implement sap.ui.core.IAsyncContentCreation interface in ${componentFileName}. Alternatively, set the 'async' flag to 'true' in ${asyncFlagMissingIn} in the component manifest.	Checks whether a Component is configured for asynchronous loading via the `sap.ui.core.IAsyncContentCreation` interface in the Component metadata or via `async` flags in the `manifest.json`.
csp-unsafe-inline-script	Warning	Use of unsafe inline script	{@link topic:fe1a6dba940e479fb7c3bc753f92b28c Content Security Policy}	Checks whether inline scripts are used in HTML files in accordance with Content Security Policy (CSP) best practices.
no-ambiguous-event-handler	Warning	Event handler '${eventHandler}' must be prefixed by a dot '.' or refer to a local name	If the handler is defined on the controller, use the leading dot notation. Otherwise import the module via core:require and use the handler via the local name. See {@link topic:b0fb4de7364f4bcbb053a99aa645affe Handling Events in XML Views}	Checks whether event handlers in XML views/fragments are prefixed by a dot '.' (i.e. represent a controller method) or refer to a local name (via `core:require` import).
no-deprecated-api	Error/Warning	Use of deprecated API '${apiName}'	${details}	Checks whether deprecated APIs, features or parameters are used in the project.
no-deprecated-component	Error	Use of deprecated component '${componentName}'		Checks for dependencies to deprecated components in `manifest.json`.
no-deprecated-control-renderer-declaration	Error	Control '${className}' is missing a renderer declaration	Not defining a 'renderer' for control '${className}' may lead to synchronous loading of the '${className}Renderer' module. If no renderer exists, set 'renderer: null'. Otherwise, either import the renderer module and assign it to the 'renderer' property or implement the renderer inline.	Checks whether the renderer of a control is declared correctly.
no-deprecated-library	Error	Use of deprecated library '${libraryName}'		Checks for dependencies to deprecated libraries in `manifest.json` and `ui5.yaml`.
no-deprecated-theme	Error	Use of deprecated theme '${themeName}'	{@link topic:a87ca843bcee469f82a9072927a7dcdb Deprecated Themes and Libraries}	Checks for usage of deprecated themes in the code and HTML files.
no-globals	Error	Access of global variable '${variableName}' (${namespace})	Do not use global variables to access UI5 modules or APIs. {@link topic:28fcd55b04654977b63dacbee0552712 See Best Practices for Developers}	Checks for the usage of global variables in the code.
no-implicit-globals	Error	Access of module '${module}' (${namespace}) not exported by library '${libraryName}'	Please import the module itself directly instead of accessing it via the library module.	Checks whether: modules are accessed via the global library namespace that is exposed by the `library` module of a UI5 library; `odata` globals are used implicitly in bindings without an explicit import of the corresponding modules.
no-pseudo-modules	Error	Deprecated access of DataType pseudo module '${moduleName}'	{@link topic:00737d6c1b864dc3ab72ef56611491c4 Migrating Access to Pseudo Modules}	Checks for dependencies to pseudo modules in the code.
parsing-error	Error	${message}	Check the source file for syntax errors	Syntax/parsing errors that appear during the linting process are reported with this rule.
autofix-error	Warning	${message}	An expected autofix could not be applied. This is likely a UI5 linter internal issue. Please report this using the bug report template: https://github.com/UI5/linter/issues/new?template=bug-report.md	An expected autofix could not be applied. This is likely a UI5 linter internal issue. Please report this using the bug report template.
ui5-class-declaration	Warning	The control renderer${className ? (" of '" + className + "'") : ""} must be a static property		Checks whether the declaration of UI5 classes is correct. This rule only applies to TypeScript code where built-in ECMAScript classes are used instead of an `.extend()` call.
unsupported-api-usage	Error	Do not use strings for 'formatter' values in JavaScript and TypeScript.	{@link topic:28fcd55b04654977b63dacbee0552712 See Best Practices for Developers}	Checks whether the UI5 API is used correctly, for example, whether a formatter in a JavaScript/TypeScript binding declaration is of type `function`.
prefer-test-starter	Warning	To save boilerplate code and ensure compliance with UI5 2.x best practices, please migrate to the Test Starter concept	{@link topic:032be2cb2e1d4115af20862673bedcdb Test Starter}	Checks whether test-related files are using the Test Starter concept.
no-outdated-manifest-version	Error	manifest.json must be migrated to Version 2	Set _version to 2.0.0 or higher and follow the migration guide {@link topic:be0cf40f61184b358b5faedaec98b2da#loiobe0cf40f61184b358b5faedaec98b2da/section_manifest2 Manifest Version 2}	Legacy-free UI5 requires Manifest Version 2. This test checks the `_version` property in `manifest.json`.
no-removed-manifest-property	Error	Property '${propName}' has been removed in Manifest Version 2 and must no longer be provided	Remove property '${propName}' and follow the migration guide {@link topic:be0cf40f61184b358b5faedaec98b2da#loiobe0cf40f61184b358b5faedaec98b2da/section_manifest2 Manifest Version 2}	Manifest Version 2 lacks several properties of earlier versions, which do not match anymore to the new schema. They must be omitted.
no-legacy-ui5-version-in-manifest	Error	Use UI5 version 1.136.0 or higher in manifest.json	Set minUI5Version to 1.136.0 or higher and follow the migration guide {@link topic:be0cf40f61184b358b5faedaec98b2da#loiobe0cf40f61184b358b5faedaec98b2da/section_manifest2 Manifest Version 2}	Checks the `sap.ui5/dependencies/minUI5Version` property in `manifest.json` for legacy UI5 versions, which must not be used. This rule ensures that projects specify a minimum UI5 version that supports modern development practices.
